Index,Bin,ScannerID,RHO,SSA,y,anisotropy,position in sample (mm),position in snowpit(mm),relative depth (%) ,BOTTOM,TOP,Height correction mm,ID,Location,Datetime,TYPE
0,5,4900,411.369125,5.7286,61.9248,1.0869,8.0025,28.0752,0.219728491,25,30,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
1,6,4900,312.5259475,7.365575,57.5598,1.2305,12.3675,32.4402,0.253890843,30,35,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
2,7,4900,327.17023,6.969533333,52.4673,1.203266667,17.46,37.5327,0.29374692,35,40,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
3,8,4900,299.02754,8.4292,47.3748,1.084125,22.5525,42.6252,0.333602997,40,45,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
4,9,4900,260.89282,10.76755,51.969525,1.053625,20.73375,48.030475,0.374331186,45,50,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
5,10,4900,254.5981467,11.26562222,59.64613333,1.088555556,16.45,52.57608889,0.407736557,50,55,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
6,11,4900,258.3915386,10.88614286,55.17381429,1.104842857,21.09857143,57.68332857,0.447223625,55,60,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
7,12,4900,231.7941429,11.27187143,50.37167143,1.118671429,25.90071429,62.48547143,0.484429915,60,65,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
8,13,4900,231.5698788,11.3476625,42.4305,1.1197,33.04875,67.5695,0.524465532,65,70,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
9,14,4900,258.7713143,11.57911429,40.46952857,1.088728571,35.80285714,72.38761429,0.561215575,70,75,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
10,15,4900,285.46038,10.92194444,34.71946667,1.127933333,41.37666667,77.50275556,0.601029803,75,80,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
11,16,4900,278.2839286,10.34384286,30.24167143,1.095328571,46.03071429,82.61547143,0.640508488,80,85,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
12,17,4900,277.02674,9.655625,13.385775,1.099675,59.3175,86.614225,0.675130157,85,90,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
13,20,4900,220.7108033,10.73413333,26.3112,1.088066667,54.72,103.6888,0.798166098,100,105,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
14,21,4900,300.21925,10.015175,22.3212,1.123175,58.71,107.6788,0.828879953,105,110,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
15,22,4900,314.6801925,10.175875,17.7612,1.107325,63.27,112.2388,0.863981501,110,115,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
16,23,4900,299.467556,11.539,12.6312,1.15846,68.4,117.3688,0.903470743,115,120,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
17,24,4900,286.606255,17.4513,8.6412,1.0455,72.39,121.3588,0.934184598,120,125,0,PS122/2_19-92,snow2-A2,10/01/2020 06:40,N
0,10,4900,544.5198,4.3492,45.2214,1.2647,29.1,54.7786,0.148222802,50,55,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
1,11,4900,494.2540833,4.6272,42.3114,1.185233333,32.01,57.6886,0.156096832,55,60,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
2,12,4900,423.469565,5.256175,37.2189,1.152375,37.1025,62.7811,0.169876385,60,65,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
3,13,4900,495.4152367,5.223433333,32.1264,1.183966667,42.195,67.8736,0.183655938,65,70,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
4,14,4900,493.8874033,4.928433333,27.7614,1.2339,46.56,72.2386,0.195466983,70,75,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
5,15,4900,438.686785,5.344,22.6689,1.228125,51.6525,77.3311,0.209246536,75,80,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
6,16,4900,385.1362267,5.910933333,17.5764,1.182,56.745,82.4236,0.223026089,80,85,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
7,17,4900,328.0640125,6.681525,12.4839,1.110125,61.8375,87.5161,0.236805642,85,90,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
8,18,4900,282.25193,6.828433333,7.3914,1.1157,66.93,92.6086,0.250585195,90,95,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
9,19,4900,250.35077,7.159075,2.2989,1.1688,72.0225,97.7011,0.264364748,95,100,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
10,29,4900,242.0088,8.123766667,101.9664,1.132033333,1.455,148.0336,0.40027718,145,150,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
11,30,4900,226.8526933,8.336333333,97.6014,1.092466667,5.82,152.3986,0.412079973,150,155,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
12,31,4900,239.304535,8.3298,92.5089,1.072225,10.9125,157.4911,0.425849897,155,160,-80,PS122/2_19-144,FR,10/01/2020 11:00,N
